"id","year","rosenberg","rosenberg_inp","dum_35_inp","dum_40_inp","dum_45_inp"
800201,2021,39,39,0,1,1
800201,2022,39,39,0,1,1
800204,2008,59,59,0,0,0
800204,2009,64,64,0,0,0
800204,2010,NA,64,0,0,0
800204,2011,66,66,0,0,0
800204,2012,NA,66,0,0,0
800204,2013,58,58,0,0,0
800204,2014,58,58,0,0,0
800204,2015,NA,58,0,0,0
800204,2016,NA,58,0,0,0
800204,2017,53,53,0,0,0
800204,2018,NA,53,0,0,0
800204,2019,63,63,0,0,0
800204,2020,60,60,0,0,0
800204,2021,54,54,0,0,0
800204,2022,55,55,0,0,0
800215,2020,50,50,0,0,0
800215,2021,NA,50,0,0,0
800215,2022,58,58,0,0,0
800216,2017,63,63,0,0,0
800216,2018,NA,63,0,0,0
800216,2019,61,61,0,0,0
800216,2020,61,61,0,0,0
800216,2021,62,62,0,0,0
800216,2022,59,59,0,0,0
800228,2010,58,58,0,0,0
800228,2011,61,61,0,0,0
800228,2012,NA,61,0,0,0
800228,2013,61,61,0,0,0
800228,2014,59,59,0,0,0
800228,2015,NA,59,0,0,0
800228,2016,NA,59,0,0,0
800228,2017,58,58,0,0,0
800228,2018,NA,58,0,0,0
800228,2019,60,60,0,0,0
800228,2020,56,56,0,0,0
800228,2021,54,54,0,0,0
800228,2022,58,58,0,0,0
800239,2021,55,55,0,0,0
800241,2014,49,49,0,0,0
800241,2015,NA,49,0,0,0
800241,2016,NA,49,0,0,0
800244,2008,59,59,0,0,0
800244,2009,57,57,0,0,0
800244,2010,NA,57,0,0,0
800244,2011,60,60,0,0,0
800244,2012,NA,60,0,0,0
800244,2013,44,44,0,0,1
800244,2014,57,57,0,0,0
800244,2015,NA,57,0,0,0
800244,2016,NA,57,0,0,0
800244,2017,53,53,0,0,0
800244,2018,NA,53,0,0,0
800244,2019,51,51,0,0,0
800244,2020,48,48,0,0,0
800250,2010,60,60,0,0,0
800253,2017,51,51,0,0,0
800253,2018,NA,51,0,0,0
800253,2019,47,47,0,0,0
800256,2008,56,56,0,0,0
800256,2009,56,56,0,0,0
800256,2010,NA,56,0,0,0
800259,2012,19,19,1,1,1
800268,2010,65,65,0,0,0
800268,2011,65,65,0,0,0
800274,2012,23,23,1,1,1
800274,2013,28,28,1,1,1
800274,2014,39,39,0,1,1
800274,2015,NA,39,0,1,1
800274,2016,NA,39,0,1,1
800274,2017,36,36,0,1,1
800274,2018,NA,36,0,1,1
800274,2019,NA,36,0,1,1
800274,2020,43,43,0,0,1
800274,2021,23,23,1,1,1
800289,2010,35,35,1,1,1
800289,2011,55,55,0,0,0
800289,2012,NA,55,0,0,0
800289,2013,57,57,0,0,0
800289,2014,59,59,0,0,0
800289,2015,NA,59,0,0,0
800289,2016,NA,59,0,0,0
800289,2017,59,59,0,0,0
800289,2018,NA,59,0,0,0
800289,2019,62,62,0,0,0
800289,2020,61,61,0,0,0
800289,2021,65,65,0,0,0
800289,2022,68,68,0,0,0
800300,2022,59,59,0,0,0
800302,2009,63,63,0,0,0
800314,2017,70,70,0,0,0
800326,2008,70,70,0,0,0
800326,2009,70,70,0,0,0
800354,2008,51,51,0,0,0
800360,2008,59,59,0,0,0
800360,2009,50,50,0,0,0
800360,2010,NA,50,0,0,0
800360,2011,52,52,0,0,0
800360,2012,NA,52,0,0,0
800360,2013,50,50,0,0,0
800360,2014,51,51,0,0,0
800360,2015,NA,51,0,0,0
800360,2016,NA,51,0,0,0
800360,2017,54,54,0,0,0
800360,2018,NA,54,0,0,0
800360,2019,53,53,0,0,0
800360,2020,60,60,0,0,0
800360,2021,55,55,0,0,0
800360,2022,55,55,0,0,0
800372,2008,40,40,0,1,1
800372,2009,64,64,0,0,0
800372,2010,NA,64,0,0,0
800372,2011,40,40,0,1,1
800372,2012,NA,40,0,1,1
800372,2013,36,36,0,1,1
800372,2014,40,40,0,1,1
800372,2015,NA,40,0,1,1
